,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year,pred_lr,pred_dt
4364,3312,847667,1336700,felony,property,2019-07-09,569,5564259,32.27945205479452,F,Black,2017-07-03,1,0.0,0,0,0
4608,875,923399,11540747,misdemeanor,violent,2012-05-23,584,5674108,28.167123287671235,F,Black,2017-06-06,0,0.0,0,0,0
273,684,10237,11148449,misdemeanor,violent,2012-10-03,516,3013712,26.4986301369863,M,Black,2018-09-16,0,0.0,0,0,0
1666,762,56410,8174468,misdemeanor,violent,2015-07-09,741,4937826,33.4027397260274,M,Black,2017-10-27,0,0.0,0,0,0
4617,1275,929734,2865043,misdemeanor,violent,2018-10-14,297,2971473,40.465753424657535,M,White,2018-09-24,0,0.0,0,0,0
3256,3681,145687,8905089,misdemeanor,property,2014-11-10,817,6183350,38.347945205479455,M,Asian,2017-01-30,0,0.0,0,0,0
3461,3917,239629,5577949,misdemeanor,drug,2017-06-29,547,5585793,27.71780821917808,M,Black,2017-06-27,0,0.0,1,0,0
5867,756,1543625,8475119,misdemeanor,violent,2015-04-03,441,4283852,56.85753424657534,M,Black,2018-02-25,0,0.0,0,0,0
1906,6176,63188,2683161,misdemeanor,other,2018-11-17,990,5775746,18.78904109589041,M,Black,2017-05-14,0,0.0,0,0,0
897,6331,27382,11098412,misdemeanor,other,2020-12-30,75,7381538,26.56438356164384,M,Black,2016-03-07,0,0.0,0,0,0
2039,8,66936,2078501,misdemeanor,other,2019-03-12,926,4531245,46.2958904109589,M,Black,2018-01-10,0,0.0,0,0,0
2420,5630,76733,6519085,misdemeanor,drug,2020-09-29,48,4573842,27.47945205479452,F,White,2017-12-30,0,0.0,0,0,0
2801,1688,85246,7353880,felony,violent,2016-03-14,51,6243514,19.75068493150685,M,Black,2017-01-12,1,0.0,4,0,0
3791,305,339988,7270525,misdemeanor,property,2016-04-05,139,5998375,56.57534246575342,M,,2017-03-17,0,0.0,0,0,0
4763,984,988101,5855610,misdemeanor,violent,2017-04-21,57,6185866,33.271232876712325,M,Black,2017-01-28,0,0.0,0,0,0
