,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
470,5788,15340,10702899,misdemeanor,other,2013-03-16,237,5697246,39.5972602739726,M,White,2017-05-31,0,0.0,0
997,5468,28865,3665332,felony,drug,2018-06-02,86,5883782,20.852054794520548,M,Black,2017-04-17,0,0.0,1
3304,3959,184560,7866408,misdemeanor,violent,2020-10-31,488,2790886,45.42739726027397,M,Black,2018-10-29,0,0.0,0
6082,1789,1985673,2673567,misdemeanor,property,2018-11-19,540,2673567,18.172602739726027,M,Other,2018-11-19,0,0.0,0
1629,2263,55857,8345434,misdemeanor,violent,2015-05-14,434,6102845,27.07945205479452,F,White,2017-02-17,0,0.0,0
2959,3435,92636,9294049,misdemeanor,property,2014-07-01,896,5155920,56.05479452054794,M,Black,2017-09-19,0,0.0,0
2781,808,84422,6104274,felony,violent,2017-02-16,123,6211932,56.391780821917806,F,Black,2017-01-22,0,1.0,1
6278,5388,2792559,1987047,misdemeanor,other,2019-03-28,614,6313370,50.71780821917808,M,White,2016-12-21,0,0.0,0
2803,1725,85246,2640355,felony,property,2018-11-26,51,6243514,19.75068493150685,M,Black,2017-01-12,1,0.0,4
3039,3666,92826,10004549,misdemeanor,property,2013-11-15,746,6037598,40.84657534246576,M,Black,2017-03-07,0,0.0,0
102,5090,4741,4236056,misdemeanor,property,2018-03-05,421,4609251,33.49589041095891,M,White,2017-12-21,0,0.0,0
3736,5691,334186,5749590,misdemeanor,other,2017-05-21,591,5749590,35.76712328767123,M,,2017-05-21,0,0.0,0
588,4508,21493,4901338,misdemeanor,property,2020-08-26,358,2652491,24.136986301369863,M,White,2018-11-23,0,0.0,0
1376,1528,47273,11593472,felony,drug,2012-05-04,621,7465597,23.38082191780822,M,Black,2016-02-13,1,0.0,0
1286,4818,44351,3297427,misdemeanor,drug,2020-06-18,262,4130120,27.8054794520548,F,Black,2018-03-24,0,0.0,0
5891,4977,1575015,4801231,misdemeanor,drug,2017-11-17,41,4801231,18.983561643835618,M,Black,2017-11-17,0,0.0,0
2989,3538,92636,2715207,misdemeanor,property,2018-11-10,896,5155920,56.05479452054794,M,Black,2017-09-19,0,0.0,0
2198,4921,70259,2747588,misdemeanor,property,2018-11-03,565,2747588,23.843835616438355,M,mixed,2018-11-03,0,0.0,0
644,5364,24391,2536660,misdemeanor,other,2018-12-14,203,5319741,32.3013698630137,M,Black,2017-08-21,0,0.0,0
2841,866,85929,5030459,misdemeanor,violent,2017-10-11,963,5226476,35.0,M,Black,2017-09-08,0,0.0,1
